name,model_name,rank_threshold,otm,spread_width,coverage,dd_trigger,premium_markup,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,ActiveMonths,AnnualPremium,AvgPayoff,AvgTurnover,MDD9Pass
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov0.50_dd0.03,logit_s_l5_c01,0.8,0.025,0.05,0.5,-0.03,0.1,129.0,0.12209583888977349,0.20414167815984915,0.6663912986081362,1.1793952759158746,-0.2530708669195846,0.4824571092514196,3.4500229375890905,0.5891472868217055,101,0.05602593875351752,0.002333111747150071,0.10897960849544963,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov0.50_dd0.05,logit_s_l5_c01,0.8,0.025,0.05,0.5,-0.05,0.1,129.0,0.11945811309964127,0.20523526859214455,0.6522962101939425,1.152504665933616,-0.2530708669195846,0.4720342351282975,3.3638325432934146,0.5891472868217055,97,0.05279196084632412,0.0018766191704890538,0.10874143731666454,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov0.50_dd0.99,logit_s_l5_c01,0.8,0.025,0.05,0.5,-0.99,0.1,129.0,0.14453866093106904,0.21306621201080903,0.7407280700099654,1.3205448549420993,-0.2530708669195846,0.5711390753523495,4.268521975111688,0.6124031007751938,16,0.013597944799553294,0.0005306966635454117,0.10830713765246162,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov1.00_dd0.03,logit_s_l5_c01,0.8,0.025,0.05,1.0,-0.03,0.1,129.0,0.08865629223844418,0.19317082205530967,0.5352924347188746,0.9430865174653829,-0.334651265512272,0.264921431277818,2.4921602279883537,0.5426356589147286,107,0.11958633274494387,0.005008418412493174,0.11039542879031698,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov1.00_dd0.05,logit_s_l5_c01,0.8,0.025,0.05,1.0,-0.05,0.1,129.0,0.08721012684700447,0.1979006622555407,0.5204776481295474,0.9016228040420506,-0.345453745449289,0.2524509518157953,2.4568011495751536,0.5426356589147286,102,0.11055573866945761,0.004222432978626256,0.11009923290235467,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov1.00_dd0.99,logit_s_l5_c01,0.8,0.025,0.05,1.0,-0.99,0.1,129.0,0.1367233622616728,0.21154577086605614,0.711751320288829,1.26754185588065,-0.2550038546328799,0.5361619433498707,3.9654177630178293,0.6046511627906976,16,0.026943106088717125,0.0010515430301425857,0.10864694781070536,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov1.50_dd0.03,logit_s_l5_c01,0.8,0.025,0.05,1.5,-0.03,0.1,129.0,0.061317393218975,0.1843066750794593,0.4133874137884964,0.7241041851919107,-0.44455733422303334,0.13792910047506315,1.8959932101457435,0.4728682170542636,109,0.1808751041467634,0.00793428347020766,0.11155801843204008,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov1.50_dd0.05,logit_s_l5_c01,0.8,0.025,0.05,1.5,-0.05,0.1,129.0,0.06397917601649361,0.18837993024840974,0.4218399573435452,0.7346038420059194,-0.42471681504921666,0.15063961149991115,1.9477406457698334,0.4728682170542636,105,0.1704940907744573,0.007336112734397384,0.11125490727524771,False
logit_s_l5_c01_rq0.80_otm0.025_w0.050_cov1.50_dd0.99,logit_s_l5_c01,0.8,0.025,0.05,1.5,-0.99,0.1,129.0,0.12897546935497006,0.21057579015533165,0.6812101793055026,1.2107279551363987,-0.2573189193545521,0.5012280856708348,3.6843292580747518,0.6046511627906976,16,0.04004261637607134,0.0015628123776637,0.10897636235038197,False
logit_s_l5_c01_rq0.80_otm0.025_w0.100_cov0.50_dd0.03,logit_s_l5_c01,0.8,0.025,0.1,0.5,-0.03,0.1,129.0,0.11304015108021592,0.20159994755312954,0.6318580279036621,1.1069397683653575,-0.2701684154669245,0.41840624073266225,3.162215288332957,0.5968992248062015,102,0.07122145353942815,0.0029082326409393673,0.10923421046177902,False
