month,macro_signal_month,stress_signal_month,stress_signal_date,stress_score,recovery_score,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,variance_penalty,downside_semivariance,downside_penalty,estimated_transaction_cost,monthly_utility,policy,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,largest_weight,largest_asset,weights_above_half,macro_mu_KODEX200,macro_mu_BOND,macro_mu_GLD,macro_mu_USO,stress_mu_adjustment_KODEX200,stress_mu_adjustment_BOND,stress_mu_adjustment_GLD,stress_mu_adjustment_USO
2007-04,2007-03,2007-03,2007-03-30,0.44154815101722783,0.8531976744186046,0.028013723083755368,0.029513727147874157,1.0280137230837554,0.0,1.0,0.0015,4.064118787183592e-09,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,0.4894879111959844,0.5105039605664413,8.128237574367184e-06,0.0,0.005144536830041415,0.000316349861163574,0.05983634279351554,1.4415481510172279,0.000158174930581787,0.0001457778221999968,0.00021014575005172357,0.0015000056866876453,0.0032762104627202587,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,15,-0.0032762104627202604,0.06161329673019362,-0.03836648550256122,0.0,0.06838670326980639,0.12163351449743878,0.5105039605664413,BOND,1,0.005981859489816315,0.004319868846811146,0.008036764827242006,-0.019417707978684137,0.0,2.181489682848952e-05,-0.0028478603448940445,0.0
2007-05,2007-04,2007-04,2007-04-30,0.4955475396676942,0.0,0.08324480020899683,0.08449859871673589,1.1135905200739697,0.0,0.4179301421900581,0.0012537904265701742,8.08116888063549e-09,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,0.9229763592942524,0.0769997296207479,2.391108499974186e-05,2.9526033620274414e-17,0.009667825906497163,0.001207235000253374,0.10877050087644571,1.4955475396676943,0.000603617500126687,0.0005594355035015122,0.0008366623908644444,0.0012538000695557802,0.00697374594595025,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,10,-0.006973745945950253,0.12036120638744233,-0.0809333686208083,0.0,0.009638793612557678,0.0790666313791917,0.9229763592942524,KODEX200,1,0.010159779414038166,0.0038325053889095985,0.006029036487105609,-0.024329117534413212,-7.277578310079272e-06,2.609860763735818e-05,0.0021370497021497006,0.0
2007-06,2007-05,2007-05,2007-05-31,0.5871695775491049,0.0,0.010404064427196309,0.010555663220741956,1.1251763875903344,0.0,0.04331432215917517,0.0001299429664775255,2.165582706812141e-05,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.8855012066095247,0.07116464201230803,0.04333415137816728,3.5550297843860014e-17,0.01513361127702876,0.0014083333343241707,0.1731533353184001,1.5871695775491048,0.0007041666671620853,0.0004923569390434517,0.0007814539549449656,0.00015160056545845122,0.013496390089463258,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,29,-0.013496390089463258,0.13000000004573095,-0.07979724983184494,0.0,-4.573094680715428e-11,0.08020275016815506,0.8855012066095247,KODEX200,1,0.01633389739798579,0.003732169968408361,0.007043499592244383,-0.022812535123023548,0.0,2.302536151350693e-05,0.0022491317003778583,0.0
2007-07,2007-06,2007-06,2007-06-29,0.4727490475190912,0.18767123287671234,0.09175628467101966,0.09189322540017068,1.2284183925151826,0.0,0.039126009629376284,0.00011737802888812885,1.9562700262892723e-05,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.926913243693003,0.07044735403220613,0.0026394022747909603,0.0,0.015034631474608037,0.0014083333333334586,0.1719655776952957,1.4727490475190912,0.0007041666666667293,0.0004903434042005206,0.0007221527814935854,0.00013694307189060273,0.013471368954557118,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,14,-0.013471368954557118,0.13000000000000578,-0.08146999286610973,0.0,-5.773159728050814e-15,0.07853000713389027,0.926913243693003,KODEX200,1,0.01593987588440189,0.0034935591567121804,0.0048157237762527175,-0.016636595063795924,0.0,-2.0034814582234865e-06,0.00040460807199546556,0.0
2007-08,2007-07,2007-07,2007-07-31,0.6341131253053367,0.16124661246612465,-0.014575645388725684,-0.0143532889947962,1.2105134016368928,-0.014575645388725689,0.07411863216476049,0.00022235589649428146,4.974352005445157e-10,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.858378454982652,0.1391377866501476,0.002483758367200455,2.829031867401281e-17,0.018772133492588286,0.001408333333333384,0.2168156019110591,1.6341131253053367,0.000704166666666692,0.00038893388378236375,0.000635561964364741,0.00022235872539102104,0.017210046136165832,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,14,-0.017210046136165832,0.13000000000000234,-0.07476526927872684,0.0,-2.3314683517128287e-15,0.08523473072127316,0.858378454982652,KODEX200,1,0.021237938761680175,0.003775575555098884,0.006240372031549492,-0.007970839241781132,0.0,-1.2483520876854465e-06,0.0005207116642009093,0.0
2007-09,2007-08,2007-08,2007-08-31,0.676341430829936,0.05952380952380952,0.0321636575325536,0.03218079099256166,1.2494479401257084,0.0,0.005711103031290199,1.71333090938706e-05,1.5091418860195912e-10,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.8622678109230604,0.135147989520964,0.0025841995559757035,2.945561209979892e-19,0.016721143328920565,0.0014083333334486562,0.19220371994635485,1.676341430829936,0.0007041666667243281,0.00038192266546209177,0.0006402327874871059,1.7136445728956494e-05,0.015359607428980175,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,7,-0.015359607428980175,0.13000000000532258,-0.07515143546625119,0.0,-5.322575713506694e-12,0.08484856453374881,0.8622678109230604,KODEX200,1,0.01885089981116167,0.003418055633750853,0.007402303621850981,-0.009527169581596839,0.0,-0.000126868188748397,0.0010420320491611212,0.0
2007-10,2007-09,2007-09,2007-09-28,0.5193018641774033,0.5427461139896373,0.05659420646923643,0.05664717058719929,1.3201594548217448,0.0,0.017654577244640965,5.29637317339229e-05,3.862289419981109e-10,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.8837035859234498,0.11361250402635423,0.002683910050196044,5.828812407773234e-17,0.017770045064461462,0.0014083333333333393,0.20479054077353753,1.5193018641774034,0.0007041666666666697,0.0003804137339843683,0.0005779632952011376,5.296660033698697e-05,0.016434948502256668,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,13,-0.016434948502256668,0.13000000000000028,-0.0772525800119892,0.0,-2.7755575615628914e-16,0.0827474199880108,0.8837035859234498,KODEX200,1,0.01964864206481681,0.003370312922101818,0.01097708850210908,-0.004330054794991905,0.0,-2.194595231028309e-05,-0.0012698863484997044,0.0
2007-11,2007-10,2007-10,2007-10-30,0.7818130798505039,0.0,-0.06178314258090407,-0.06109780517579944,1.2385958549949643,-0.061783142580904116,0.19581068717275005,0.0005874320615182502,9.7905343586375e-05,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.8015019215173897,0.0,0.1984980784826103,0.0,0.021298891946133942,0.0014083333427298904,0.24713670329722798,1.7818130798505039,0.0007041666713649452,0.00034777947705478385,0.0006196780211197821,0.0006853389051252191,0.019289708348523997,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,8,-0.019289708348523997,0.13000000043368723,-0.0806414914961327,0.0,-4.3368722502101775e-10,0.0793585085038673,0.8015019215173897,KODEX200,1,0.02224973240988005,0.0034170722214673277,0.013634121970384964,0.005240729763161041,0.0,-0.00012687961831703794,0.0038254357888653674,0.0
2007-12,2007-11,2007-11,2007-11-30,0.6626775724585523,0.7723880597014925,0.025041649172263522,0.025485963626671767,1.2696123378619681,-0.038288645189911374,0.12694698697378465,0.00038084096092135395,6.347349348689231e-05,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.6582073324478025,5.248394728969888e-18,0.34179266755219756,0.0,0.015092982064616052,0.0014083333333342446,0.17266578477538716,1.6626775724585523,0.0007041666666671223,0.00038939203322420357,0.0006474334005359188,0.00044431745442203153,0.013297064542990981,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,8,-0.013297064542990981,0.13000000000004205,-0.07565015839548411,0.0,-4.2049697057677804e-14,0.08434984160451589,0.6582073324478025,KODEX200,1,0.016795507113575185,0.0030570845221652744,0.013610521919044563,0.002613805947482122,-0.0005781325728853524,-0.00037877100665056337,-0.000682839003766991,0.0
2008-01,2007-12,2007-12,2007-12-28,0.5132411542673639,0.015931372549019607,-0.04052898657311215,-0.040528946814418564,1.218156236467703,-0.07726583177621893,1.1359626739926309e-05,3.407888021977893e-08,5.679813369963149e-09,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.6379116579181934,5.10828318468952e-18,0.36208834208180674,0.0,0.01660227541151861,0.001262549332099018,0.19165200894562923,1.513241154267364,0.000631274666049509,0.00035751270603844563,0.0005410029399508663,4.2912450638403497e-08,0.015429954893067598,Unconstrained_DynamicLambda,True,False,0,Optimization terminated successfully,2,-0.015429954893067598,0.12308774100286436,-0.07302590891299295,0.0,0.006912258997135642,0.08697409108700706,0.6379116579181934,KODEX200,1,0.01582020318536925,0.003046356919003379,0.017639887350137957,0.009048293983437828,6.303466285221209e-05,-2.1061383654365574e-05,0.00022915749524635658,-3.077643264176635e-08
