month,bond_curve_signal_month,bond_curve_signal_date,ktb_3y_pct,ktb_5y_pct,ktb_10y_pct,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,estimated_transaction_cost,monthly_utility,policy,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,bond_mu_adjustment,carry_roll_alpha_adjustment,rate_momentum_alpha_adjustment,bond_curve_alpha_adjustment,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_BOND
2007-04,2007-03,2007-03-30,4.76,4.8,4.93,-0.003393961021176862,-0.0018939603909452595,0.9966060389788232,-0.003393961021176839,1.0,0.0015,6.302316024686458e-10,0.0,0.9999987395367951,1.2604632049372915e-06,0.0,0.003945164649696761,9.639936369458513e-06,0.04728413617814438,1.0,0.0015000043272353956,0.0024403395471380277,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,12,-0.0024403395471380286,0.010755428231060916,-4.92078837715515e-05,0.0,0.11924457176893909,0.15995079211622845,0.0002244444444444542,-0.000841055555555555,0.0002244444444444542,-0.0006166111111111008,1.0,1.0,0.0,0.0,0.003945165171560378
2007-05,2007-04,2007-04-30,5.05,5.06,5.15,0.013274748327484891,0.01591189596381999,1.0098357333279186,0.0,0.7534707532386002,0.002260412259715801,0.00037673537661930015,4.899763735880428e-18,0.24652800733501723,0.7534719926649828,0.0,0.005334017058450643,0.0011341848563729954,0.05720309556316974,1.0,0.002637150636337423,0.001860395122438753,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,8,-0.001860395122438753,0.11666284016976419,-0.05780653103518352,0.0,0.013337159830235812,0.10219346896481649,-0.0022785087719298207,-0.0006758223684210536,-0.0022785087719298207,-0.0029543311403508743,1.0,1.0,0.0,0.0,0.0009391824237663935
2007-06,2007-05,2007-05-31,5.17,5.21,5.32,-0.021394756320348828,-0.02118665103530543,0.988230543889787,-0.021394756320348818,0.05945865286954266,0.00017837595860862798,2.972932643477133e-05,2.976339888202433e-18,0.18376062865781473,0.8162393713421853,0.0,0.005540201114122381,0.0014083333333343047,0.05803241336946274,1.0,0.00020810828507283153,0.0043267063719094456,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,5,-0.0043267063719094456,0.13000000000004483,-0.06486009210995974,0.0,-4.4825254619240695e-14,0.09513990789004026,-0.00824891774891775,-0.00047954545454545385,-0.00824891774891775,-0.008728463203463205,1.0,1.0,0.0,0.0,-0.005010307313013373
2007-07,2007-06,2007-06-29,5.26,5.38,5.51,0.025089815277445426,0.02529132007868281,1.0130250656875113,0.0,0.057572800353537984,0.00017271840106061395,2.878640017676898e-05,0.0,0.1302364574533256,0.8697635425466744,0.0,0.002748839532809775,0.0014083333333333404,0.024536074393717258,1.0,0.00020150780126777923,0.0014837796520788457,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,6,-0.0014837796520788457,0.13000000000000034,-0.07085838474122719,0.0,-3.3306690738754696e-16,0.08914161525877282,-0.010476495726495724,-0.00016506410256410253,-0.010476495726495724,-0.010641559829059826,1.0,1.0,0.0,0.0,-0.007408248421454134
2007-08,2007-07,2007-07-31,5.22,5.28,5.37,0.02245628762791837,0.02254313587033393,1.035773847936881,0.0,0.024813783547302584,7.444135064190775e-05,1.2406891773651285e-05,0.0,0.10319568571004853,0.8968043142899514,2.1684151800800546e-19,0.005824336352530769,0.0014083333333333335,0.06144203623036923,1.0,8.685124248608437e-05,0.004672251828675339,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,9,-0.004672251828675339,0.13,-0.07388295360613978,0.0,0.0,0.08611704639386022,-0.0056772151898734245,-0.0003713080168776363,-0.0056772151898734245,-0.006048523206751061,1.0,1.0,0.0,0.0,-0.0004164628683491588
2007-09,2007-08,2007-08-31,5.43,5.47,5.57,0.0674074500984821,0.06754995050372609,1.105592721904999,0.0,0.040714401498282725,0.00012214320449484818,2.0357200749141345e-05,1.0311299824231746e-17,0.05998826636541854,0.9400117336345815,4.46896700553737e-17,0.006860663716494735,0.0014083333333336145,0.07387796459793514,1.0,0.00014250340528697178,0.0056362116677781335,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,7,-0.0056362116677781335,0.13000000000001297,-0.0787076845873585,0.0,-1.2961853812498703e-14,0.08129231541264151,-0.003939583333333331,-0.0002500000000000002,-0.003939583333333331,-0.004189583333333331,1.0,1.0,0.0,0.0,0.0006558951416198078
2007-10,2007-09,2007-09-28,5.46,5.52,5.6,0.049085627523831735,0.0494526173414348,1.1598614344454872,0.0,0.10485423360087723,0.0003145627008026317,5.242711680043862e-05,0.0,0.16118946964178296,0.8388105303582171,4.350775634584976e-19,0.007802726201463048,0.0014083333333333346,0.08518271441755657,1.0,0.0003669928176197601,0.00645572406833515,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,4,-0.00645572406833515,0.13000000000000006,-0.0673914347512497,0.0,-5.551115123125783e-17,0.0926085652487503,-0.0025576131687242766,-0.00016358024691358157,-0.0025576131687242766,-0.002721193415637858,1.0,1.0,0.0,0.0,0.00417706764933745
2007-11,2007-10,2007-10-31,5.43,5.49,5.56,0.011988089286925036,0.012175248014377704,1.1737659568820806,0.0,0.05347392212933355,0.00016042176638800064,2.6736961064666722e-05,8.875803449533959e-19,0.20781743404695538,0.7921825659530447,2.1707761897838394e-18,0.014560277398288742,0.0014083333333396034,0.1662733287794273,1.0,0.0001871617274853936,0.013439612825175928,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,3,-0.013439612825175928,0.13000000000028938,-0.062159151799574874,0.0,-2.8937963136854705e-13,0.09784084820042513,-0.004359756097560978,-0.00018658536585365766,-0.004359756097560978,-0.004546341463414635,1.0,1.0,0.0,0.0,0.005439992933957553
2007-12,2007-11,2007-11-30,5.77,5.84,5.69,0.0652669883501018,0.06542435564305762,1.2503741259156496,0.0,0.044962083701660646,0.00013488625110498194,2.248104185083033e-05,7.771433898439206e-18,0.24960850117672098,0.750391498823279,3.3351922298138076e-18,0.008961967826794813,0.001408333333352849,0.09909361392142066,1.0,0.00015737029299473394,0.007908093879254379,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,3,-0.007908093879254379,0.13000000000090073,-0.05745981860569771,0.0,-9.007239398783895e-13,0.1025401813943023,-0.008473895582329319,0.00012816265060241073,-0.008473895582329319,-0.008345732931726909,1.0,1.0,0.0,0.0,-0.00117728160852036
2008-01,2007-12,2007-12-31,5.74,5.78,5.7,0.08629670779617898,0.08640995874378023,1.358277296495695,0.0,0.03235741360035484,9.707224080106451e-05,1.6178706800177417e-05,0.0,0.26723102503664337,0.7327689749633567,0.0,0.013078278820199074,0.0014083333333522615,0.14848934584227533,1.0,0.00011325394765532537,0.012087474056525346,Stage37_rate_momentum_only,True,False,0,Optimization terminated successfully,4,-0.012087474056525346,0.1300000000008736,-0.05080517539776178,0.0,-8.736067425019201e-13,0.10919482460223823,-0.006373015873015872,1.4136904761905683e-05,-0.006373015873015872,-0.006358878968253968,1.0,1.0,0.0,0.0,0.0016185430090875786
